State,Year,Cause.General,Total.Deaths
South Carolina,2018,Pending,"NA"
South Carolina,2018,Pending,"NA"
South Carolina,2018,Pending,"NA"
South Carolina,2018,Pending,"NA"
South Carolina,2018,Pending,"NA"
South Carolina,2018,Pending,"NA"
South Carolina,2018,Pending,"NA"
South Carolina,2018,Pending,"NA"
South Carolina,2018,Pending,"NA"
South Carolina,2018,Pending,"NA"
South Carolina,2018,Pending,"NA"
South Carolina,2018,Pending,"NA"
South Carolina,2018,Pending,"NA"
South Carolina,2018,Pending,"NA"
South Carolina,2018,Pending,"NA"
South Carolina,2018,Pending,"NA"
South Carolina,2018,Pending,"NA"
South Carolina,2019,Pending,"NA"
South Carolina,2019,Pending,"NA"
South Carolina,2019,Pending,"NA"
South Carolina,2019,Pending,"NA"
South Carolina,2019,Pending,"NA"
South Carolina,2019,Pending,"NA"
South Carolina,2019,Pending,"NA"
South Carolina,2019,Pending,"NA"
South Carolina,2019,Pending,"NA"
South Carolina,2019,Pending,"NA"
South Carolina,2019,Pending,"NA"
South Carolina,2019,Pending,"NA"
South Carolina,2019,Pending,"NA"
South Carolina,2019,Pending,"NA"
South Carolina,2019,Pending,"NA"
South Carolina,2019,Pending,"NA"
South Carolina,2020,Pending,0
South Carolina,2020,Pending,0
South Carolina,2020,Pending,1
South Carolina,2020,Pending,0
South Carolina,2020,Pending,0
South Carolina,2020,Pending,0
South Carolina,2020,Pending,0
South Carolina,2020,Pending,1
South Carolina,2020,Pending,1
South Carolina,2020,Pending,1
South Carolina,2020,Pending,2
South Carolina,2020,Pending,1
South Carolina,2020,Pending,2
South Carolina,2020,Pending,1
South Carolina,2020,Pending,0
South Carolina,2020,Pending,0
