Agency,Deaths.2016,Deaths.2017,Deaths.2018,Deaths.2019,Deaths.2020,Deaths.2021,Deaths.2022,Deaths.2023,Deaths.2024,Population.2016,Population.2017,Population.2018,Population.2019,Population.2020,Population.2021,Population.2022,Population.2023,Population.2024,Crude.Rate.2016,Crude.Rate.2017,Crude.Rate.2018,Crude.Rate.2019,Crude.Rate.2020,Crude.Rate.2021,Crude.Rate.2022,Crude.Rate.2023,Crude.Rate.2024,SMR.2019,SMR.2020,SMR.2021,SMR.2022,SMR.2023,SMR.2024
BoP - Arizona,4,7,8,6,12,8,0,NA,NA,4477,4425,4266,4079,3506,3430,3616,3679,NA,8.934554389099844,15.819209039548022,18.75293014533521,14.709487619514586,34.227039361095265,23.323615160349853,0,NA,NA,NA,NA,NA,NA,NA,NA
BoP - California,22,12,22,13,31,17,0,NA,NA,16981,15766,15385,16449,11802,11654,14360,13770,NA,12.955656321771393,7.61131548902702,14.299642508937277,7.903216000972703,26.26673445178783,14.587266174703965,0,NA,NA,NA,NA,NA,NA,NA,NA
BoP - Colorado,6,5,11,15,9,12,0,NA,NA,3607,3750,3676,3690,3262,3254,3485,3491,NA,16.63432215137233,13.333333333333332,29.923830250272033,40.650406504065046,27.590435315757205,36.87768899815612,0,NA,NA,NA,NA,NA,NA,NA,NA
BoP - Connecticut,1,1,0,0,2,0,0,NA,NA,856,1108,1079,1006,817,927,1027,997,NA,11.682242990654204,9.025270758122744,0,0,24.479804161566705,0,0,NA,NA,NA,NA,NA,NA,NA,NA
BoP - Florida,18,13,18,23,28,23,2,NA,NA,12427,12087,11776,10443,9048,9533,10319,10815,NA,14.484590005632898,10.755356995118722,15.285326086956523,22.024322512687924,30.94606542882405,24.126717717402705,1.9381723035177827,NA,NA,NA,NA,NA,NA,NA,NA
BoP - Georgia,7,7,5,8,13,12,0,NA,NA,7698,7156,6853,7035,5982,4781,4172,3413,NA,9.093270979475188,9.782001117942984,7.2960747118050495,11.371712864250178,21.731862253426947,25.099351600083665,0,NA,NA,NA,NA,NA,NA,NA,NA
BoP - Hawaii,1,2,1,0,2,2,0,NA,NA,402,397,406,453,327,313,348,270,NA,24.87562189054726,50.377833753148614,24.63054187192118,0,61.162079510703364,63.897763578274756,0,NA,NA,NA,NA,NA,NA,NA,NA
BoP - Illinois,12,5,5,8,8,13,0,NA,NA,4672,4737,4534,5201,5235,5464,5320,5592,NA,25.684931506849313,10.555203715431707,11.027790030877812,15.381657373582003,15.281757402101242,23.792093704245975,0,NA,NA,NA,NA,NA,NA,NA,NA
BoP - Indiana,14,6,12,7,24,12,0,NA,NA,2621,2747,2716,2650,2518,2384,2569,2586,NA,53.4147272033575,21.84200946487077,44.18262150220913,26.415094339622645,95.31374106433678,50.335570469798654,0,NA,NA,NA,NA,NA,NA,NA,NA
BoP - Kansas,1,0,3,3,1,3,1,NA,NA,1834,1971,1723,1667,1584,1668,1529,1593,NA,5.452562704471101,0,17.411491584445734,17.99640071985603,6.313131313131314,17.98561151079137,6.540222367560498,NA,NA,NA,NA,NA,NA,NA,NA
BoP - Kentucky,21,24,19,21,28,21,0,NA,NA,7297,6686,6490,6633,6059,5767,6614,6811,NA,28.778950253528848,35.895901884534844,29.27580893682589,31.659882406151063,46.212246245254995,36.41408011097624,0,NA,NA,NA,NA,NA,NA,NA,NA
BoP - Louisiana,4,7,2,1,14,1,0,NA,NA,5446,4742,5059,4908,4244,4693,4957,5028,NA,7.344840249724568,14.761703922395613,3.95335046451868,2.037489812550937,32.98774740810556,2.1308331557639035,0,NA,NA,NA,NA,NA,NA,NA,NA
BoP - Massachusetts,13,15,10,16,16,16,1,NA,NA,1177,1082,1188,1101,920,755,962,925,NA,110.45029736618521,138.63216266173754,84.17508417508418,145.322434150772,173.91304347826087,211.9205298013245,10.395010395010395,NA,NA,NA,NA,NA,NA,NA,NA
