State,Year,Month,Facility,Total.Deaths
Oregon,2018,September,TRCM,0
Oregon,2018,October,TRCM,0
Oregon,2018,November,TRCM,0
Oregon,2018,December,TRCM,0
Oregon,2019,January,TRCM,0
Oregon,2019,February,TRCM,0
Oregon,2019,March,TRCM,0
Oregon,2019,April,TRCM,0
Oregon,2019,May,TRCM,0
Oregon,2019,June,TRCM,0
Oregon,2019,July,TRCM,0
Oregon,2019,August,TRCM,0
Oregon,2019,September,TRCM,0
Oregon,2019,October,TRCM,0
Oregon,2019,November,TRCM,0
Oregon,2019,December,TRCM,0
Oregon,2020,January,TRCM,0
Oregon,2020,February,TRCM,0
Oregon,2020,March,TRCM,0
Oregon,2020,April,TRCM,0
Oregon,2020,May,TRCM,0
Oregon,2020,June,TRCM,0
Oregon,2020,July,TRCM,0
Oregon,2020,August,TRCM,0
Oregon,2020,September,TRCM,0
Oregon,2020,October,TRCM,0
Oregon,2020,November,TRCM,0
Oregon,2020,December,TRCM,0
Oregon,2015,January,DRCM,0
Oregon,2015,February,DRCM,0
Oregon,2015,March,DRCM,0
Oregon,2015,April,DRCM,0
Oregon,2015,May,DRCM,0
Oregon,2015,June,DRCM,0
Oregon,2015,July,DRCM,0
Oregon,2015,August,DRCM,0
Oregon,2015,September,DRCM,0
Oregon,2015,October,DRCM,0
Oregon,2015,November,DRCM,0
Oregon,2015,December,DRCM,0
Oregon,2016,January,DRCM,0
Oregon,2016,February,DRCM,0
Oregon,2016,March,DRCM,0
Oregon,2016,April,DRCM,0
Oregon,2016,May,DRCM,0
Oregon,2016,June,DRCM,0
Oregon,2016,July,DRCM,0
Oregon,2016,August,DRCM,0
Oregon,2016,September,DRCM,0
Oregon,2016,October,DRCM,0
Oregon,2016,November,DRCM,1
Oregon,2016,December,DRCM,0
Oregon,2017,January,DRCM,0
Oregon,2017,February,DRCM,0
Oregon,2017,March,DRCM,0
Oregon,2017,April,DRCM,0
Oregon,2017,May,DRCM,0
Oregon,2017,June,DRCM,0
Oregon,2017,July,DRCM,0
Oregon,2017,August,DRCM,0
Oregon,2017,September,DRCM,0
Oregon,2017,October,DRCM,0
Oregon,2017,November,DRCM,0
Oregon,2017,December,DRCM,0
Oregon,2018,January,DRCM,0
Oregon,2018,February,DRCM,0
Oregon,2018,March,DRCM,0
Oregon,2018,April,DRCM,0
Oregon,2018,June,DRCM,0
Oregon,2018,August,DRCM,0
Oregon,2018,September,DRCM,0
Oregon,2018,October,DRCM,0
Oregon,2018,November,DRCM,0
Oregon,2018,December,DRCM,0
Oregon,2019,January,DRCM,0
Oregon,2019,February,DRCM,0
Oregon,2019,March,DRCM,0
Oregon,2019,April,DRCM,0
Oregon,2019,May,DRCM,0
Oregon,2019,June,DRCM,0
Oregon,2019,July,DRCM,0
Oregon,2019,August,DRCM,0
Oregon,2019,September,DRCM,0
Oregon,2019,October,DRCM,0
Oregon,2019,November,DRCM,0
Oregon,2019,December,DRCM,0
Oregon,2020,January,DRCM,0
Oregon,2020,February,DRCM,0
Oregon,2020,March,DRCM,0
Oregon,2020,April,DRCM,0
Oregon,2020,May,DRCM,0
Oregon,2020,June,DRCM,0
Oregon,2020,July,DRCM,1
Oregon,2020,August,DRCM,0
Oregon,2020,September,DRCM,0
Oregon,2020,October,DRCM,0
Oregon,2020,November,DRCM,0
Oregon,2020,December,DRCM,2
Oregon,2015,January,SCCI,0
Oregon,2015,February,SCCI,0
Oregon,2015,March,SCCI,0
Oregon,2015,April,SCCI,0
Oregon,2015,May,SCCI,0
Oregon,2015,June,SCCI,0
Oregon,2015,July,SCCI,0
Oregon,2015,August,SCCI,0
Oregon,2015,September,SCCI,0
Oregon,2015,October,SCCI,0
Oregon,2015,November,SCCI,0
Oregon,2015,December,SCCI,0
Oregon,2016,January,SCCI,0
Oregon,2016,February,SCCI,0
Oregon,2016,March,SCCI,0
Oregon,2016,April,SCCI,0
Oregon,2016,May,SCCI,0
Oregon,2016,June,SCCI,0
Oregon,2016,July,SCCI,0
Oregon,2016,August,SCCI,0
Oregon,2016,September,SCCI,0
Oregon,2016,October,SCCI,0
Oregon,2016,November,SCCI,0
Oregon,2016,December,SCCI,0
Oregon,2017,January,SCCI,0
Oregon,2017,February,SCCI,0
Oregon,2017,March,SCCI,0
Oregon,2017,April,SCCI,0
Oregon,2017,May,SCCI,0
Oregon,2017,June,SCCI,0
Oregon,2017,July,SCCI,0
Oregon,2017,August,SCCI,0
Oregon,2017,September,SCCI,0
Oregon,2017,October,SCCI,0
Oregon,2017,November,SCCI,0
Oregon,2017,December,SCCI,0
Oregon,2018,January,SCCI,1
Oregon,2018,February,SCCI,0
Oregon,2018,March,SCCI,0
Oregon,2018,April,SCCI,0
Oregon,2018,June,SCCI,0
Oregon,2018,August,SCCI,0
Oregon,2018,September,SCCI,0
Oregon,2018,October,SCCI,0
Oregon,2018,November,SCCI,0
Oregon,2018,December,SCCI,0
Oregon,2019,January,SCCI,0
Oregon,2019,February,SCCI,0
Oregon,2019,March,SCCI,0
Oregon,2019,April,SCCI,0
Oregon,2019,May,SCCI,0
Oregon,2019,June,SCCI,0
Oregon,2019,July,SCCI,0
Oregon,2019,August,SCCI,0
Oregon,2019,September,SCCI,0
Oregon,2019,October,SCCI,0
Oregon,2019,November,SCCI,0
Oregon,2019,December,SCCI,0
Oregon,2020,January,SCCI,0
Oregon,2020,February,SCCI,0
Oregon,2020,March,SCCI,0
Oregon,2020,April,SCCI,0
Oregon,2020,May,SCCI,0
Oregon,2020,June,SCCI,0
Oregon,2020,July,SCCI,0
Oregon,2020,August,SCCI,0
Oregon,2020,September,SCCI,0
Oregon,2020,October,SCCI,0
Oregon,2020,November,SCCI,0
Oregon,2020,December,SCCI,0
Oregon,2015,January,SCI,0
Oregon,2015,February,SCI,0
Oregon,2015,March,SCI,0
Oregon,2015,April,SCI,0
Oregon,2015,May,SCI,0
Oregon,2015,June,SCI,0
Oregon,2015,July,SCI,0
Oregon,2015,August,SCI,0
Oregon,2015,September,SCI,0
Oregon,2015,October,SCI,0
Oregon,2015,November,SCI,0
Oregon,2015,December,SCI,0
Oregon,2016,January,SCI,0
Oregon,2016,February,SCI,0
Oregon,2016,March,SCI,0
Oregon,2016,April,SCI,0
Oregon,2016,May,SCI,0
Oregon,2016,June,SCI,0
Oregon,2016,July,SCI,0
Oregon,2016,August,SCI,0
Oregon,2016,September,SCI,0
Oregon,2016,October,SCI,0
Oregon,2016,November,SCI,0
Oregon,2016,December,SCI,0
Oregon,2017,January,SCI,0
Oregon,2017,February,SCI,0
Oregon,2017,March,SCI,0
Oregon,2017,April,SCI,0
Oregon,2017,May,SCI,0
Oregon,2017,June,SCI,0
Oregon,2017,July,SCI,0
Oregon,2017,August,SCI,0
Oregon,2017,September,SCI,0
Oregon,2017,October,SCI,0
Oregon,2017,November,SCI,0
Oregon,2017,December,SCI,0
Oregon,2018,January,SCI,0
Oregon,2018,February,SCI,0
Oregon,2018,March,SCI,0
Oregon,2018,April,SCI,0
Oregon,2018,June,SCI,0
Oregon,2018,August,SCI,0
Oregon,2018,September,SCI,0
Oregon,2018,October,SCI,0
Oregon,2018,November,SCI,0
Oregon,2018,December,SCI,0
Oregon,2019,January,SCI,1
Oregon,2019,February,SCI,0
Oregon,2019,March,SCI,0
Oregon,2019,April,SCI,0
Oregon,2019,May,SCI,0
Oregon,2019,June,SCI,0
Oregon,2019,July,SCI,0
Oregon,2019,August,SCI,0
